ID,NAME,INCHI,SOURCE,SOURCE_TYPE,ADDITIONAL,SMILES,INCHIKEY,LOCAL_POS,LOCAL_NEG,FORMULA,FIXEDMASS,NETCHARGE,DTXSID,DTXCID,CASRN,PUBCHEMID,INSPECTEDBY
1,"1H-Perfluoro-3,3-bis(trifluoromethyl)hexyne","InChI=1S/C8HF13/c1-2-3(6(13,14)15,7(16,17)18)4(9,10)5(11,12)8(19,20)21/h1H",https://comptox.epa.gov/dashboard,C,NA,C#CC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F,UEYXJPFQJDFMGD-UHFFFAOYSA-N,0,0,C8HF13,343.9870669,0,DTXSID60893374,DTXCID801323380,261503-44-0,NA,NA
2,Bis(heneicosafluorodecyl)phosphinic acid,"InChI=1S/C20H9F34O2P/c21-5(22,7(25,26)9(29,30)11(33,34)13(37,38)15(41,42)17(45,46)19(49,50)51)1-3-57(55,56)4-2-6(23,24)8(27,28)10(31,32)12(35,36)14(39,40)16(43,44)18(47,48)20(52,53)54/h1-4H2,(H,55,56)",https://comptox.epa.gov/dashboard,C,NA,C(CP(=O)(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DEENCVDXCNHHAM-UHFFFAOYSA-N,0,0,C20H9F34O2P,957.9797256,0,DTXSID70881308,DTXCID801022566,52299-27-1,NA,NA
3,Tris(2-(perfluorododecyl)ethyl)phosphate,"InChI=1S/C42H12F75O4P/c43-7(44,10(49,50)13(55,56)16(61,62)19(67,68)22(73,74)25(79,80)28(85,86)31(91,92)34(97,98)37(103,104)40(109,110)111)1-4-119-122(118,120-5-2-8(45,46)11(51,52)14(57,58)17(63,64)20(69,70)23(75,76)26(81,82)29(87,88)32(93,94)35(99,100)38(105,106)41(112,113)114)121-6-3-9(47,48)12(53,54)15(59,60)18(65,66)21(71,72)24(77,78)27(83,84)30(89,90)33(95,96)36(101,102)39(107,108)42(115,116)117/h1-6H2",https://comptox.epa.gov/dashboard,C,NA,C(COP(=O)(OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,JKDZBIHMORMGRL-UHFFFAOYSA-N,0,0,C42H12F75O4P,2035.927562,0,DTXSID50893500,DTXCID901323614,393098-42-5,NA,NA
4,"2-Chloro-2-propenoic acid 3,3,4,4,5,5,6,6,6-nonafluorohexyl ester","InChI=1S/C9H6ClF9O2/c1-4(10)5(20)21-3-2-6(11,12)7(13,14)8(15,16)9(17,18)19/h1-3H2",https://comptox.epa.gov/dashboard,C,NA,C=C(C(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)Cl,CVMPVWSYSNATQO-UHFFFAOYSA-N,0,0,C9H6ClF9O2,351.9912611,0,DTXSID10893405,DTXCID501323412,701909-41-3,NA,NA
5,"Bicyclo[2.2.1]hept-2-ene, 5,5,6-trifluoro-6-(heptafluoropropoxy)-","InChI=1S/C10H6F10O/c11-6(12)4-1-2-5(3-4)7(6,13)21-10(19,20)8(14,15)9(16,17)18/h1-2,4-5H,3H2",https://comptox.epa.gov/dashboard,C,NA,C1=CC2CC1C(C2(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F,JZEKVGIWHZEUSP-UHFFFAOYSA-N,0,0,C10H6F10O,332.025897,0,DTXSID40338359,DTXCID50289444,154717-36-9,NA,NA
6,"3,3,4-Trifluoro-4-(heptafluoropropoxy)tricyclo[4.2.1.0~2,5~]non-7-ene","InChI=1S/C12H8F10O/c13-8(14)6-4-1-2-5(3-4)7(6)9(8,15)23-12(21,22)10(16,17)11(18,19)20/h1-2,4-7H,3H2",https://comptox.epa.gov/dashboard,C,NA,C1=CC2CC1C1C2C(C1(F)F)(F)OC(C(C(F)(F)F)(F)F)(F)F,NGEYGRCDNBGSKG-UHFFFAOYSA-N,0,0,C12H8F10O,358.0415471,0,DTXSID00610941,DTXCID50561696,262617-19-6,NA,NA
7,5-(Nonafluorobutyl)bicyclo[2.2.1]hept-2-ene,"InChI=1S/C11H9F9/c12-8(13,7-4-5-1-2-6(7)3-5)9(14,15)10(16,17)11(18,19)20/h1-2,5-7H,3-4H2",https://comptox.epa.gov/dashboard,C,NA,C1=CC2CC1CC2C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,QAIOQFZLAKMXNK-UHFFFAOYSA-N,0,0,C11H9F9,312.0560543,0,DTXSID60554473,DTXCID90505256,118777-97-2,NA,NA
8,3-(Heptafluorobutyryl)camphor,"InChI=1S/C14H15F7O2/c1-10(2)6-4-5-11(10,3)8(22)7(6)9(23)12(15,16)13(17,18)14(19,20)21/h6-7H,4-5H2,1-3H3",https://comptox.epa.gov/dashboard,C,NA,CC1(C)C2CCC1(C)C(=O)C2C(=O)C(C(C(F)(F)F)(F)F)(F)F,PEWOESYEGLBLNR-UHFFFAOYSA-N,0,0,C14H15F7O2,348.0960273,0,NA,NA,NA,NA,NA
9,Perfluorobutylsulfonamide,"InChI=1S/C4H2F9NO2S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H2,14,15,16)",https://comptox.epa.gov/dashboard,C,NA,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F,FUVKFLJWBHVMHX-UHFFFAOYSA-N,0,0,C4H2F9NO2S,298.9662533,0,DTXSID30880251,DTXCID101021836,30334-69-1,NA,NA
10,"N-(3,4-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide","InChI=1S/C10H4Cl2F7NO/c11-5-2-1-4(3-6(5)12)20-7(21)8(13,14)9(15,16)10(17,18)19/h1-3H,(H,20,21)",https://comptox.epa.gov/dashboard,C,NA,c1cc(c(cc1N=C(C(C(C(F)(F)F)(F)F)(F)F)O)Cl)Cl,INMDAGXEYRBPRG-UHFFFAOYSA-N,0,0,C10H4Cl2F7NO,356.9558166,0,DTXSID20881333,DTXCID501022581,106376-37-8,NA,NA
11,"N-(3,5-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide","InChI=1S/C10H4Cl2F7NO/c11-4-1-5(12)3-6(2-4)20-7(21)8(13,14)9(15,16)10(17,18)19/h1-3H,(H,20,21)",https://comptox.epa.gov/dashboard,C,NA,c1c(cc(cc1Cl)N=C(C(C(C(F)(F)F)(F)F)(F)F)O)Cl,WGNKYUWDFZMCGQ-UHFFFAOYSA-N,0,0,C10H4Cl2F7NO,356.9558166,0,DTXSID80881334,DTXCID201022582,106376-38-9,NA,NA
12,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester","InChI=1S/C28H28F17N3O8S/c1-6-48(9-10-54-19(50)46-16-8-7-14(4)17(11-16)47-20(51)56-15(5)12-55-18(49)13(2)3)57(52,53)28(44,45)26(39,40)24(35,36)22(31,32)21(29,30)23(33,34)25(37,38)27(41,42)43/h7-8,11,15H,2,6,9-10,12H2,1,3-5H3,(H,46,50)(H,47,51)",https://comptox.epa.gov/dashboard,C,NA,CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,WUGSPVXFVQZHFC-UHFFFAOYSA-N,0,0,C28H28F17N3O8S,889.1325656,0,DTXSID30880599,DTXCID001021976,68298-72-6,NA,NA
13,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester","InChI=1S/C27H28F15N3O8S/c1-6-45(54(49,50)27(41,42)25(36,37)23(32,33)21(28,29)22(30,31)24(34,35)26(38,39)40)9-10-51-19(47)43-16-8-7-14(4)17(11-16)44-20(48)53-15(5)12-52-18(46)13(2)3/h7-8,11,15H,2,6,9-10,12H2,1,3-5H3,(H,43,47)(H,44,48)",https://comptox.epa.gov/dashboard,C,NA,CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,RPJIZRHOCVMSSZ-UHFFFAOYSA-N,0,0,C27H28F15N3O8S,839.1357592,0,DTXSID40880601,DTXCID701021977,68298-73-7,NA,NA
14,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester","InChI=1S/C26H28F13N3O8S/c1-6-42(51(46,47)26(38,39)24(33,34)22(29,30)21(27,28)23(31,32)25(35,36)37)9-10-48-19(44)40-16-8-7-14(4)17(11-16)41-20(45)50-15(5)12-49-18(43)13(2)3/h7-8,11,15H,2,6,9-10,12H2,1,3-5H3,(H,40,44)(H,41,45)",https://comptox.epa.gov/dashboard,C,NA,CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,XCLCXQRFYCAXDN-UHFFFAOYSA-N,0,0,C26H28F13N3O8S,789.1389527,0,DTXSID20880604,DTXCID101021979,68298-74-8,NA,NA
15,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester","InChI=1S/C25H28F11N3O8S/c1-6-39(48(43,44)25(35,36)23(30,31)21(26,27)22(28,29)24(32,33)34)9-10-45-19(41)37-16-8-7-14(4)17(11-16)38-20(42)47-15(5)12-46-18(40)13(2)3/h7-8,11,15H,2,6,9-10,12H2,1,3-5H3,(H,37,41)(H,38,42)",https://comptox.epa.gov/dashboard,C,NA,CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,OBPWLOPGKWGMTO-UHFFFAOYSA-N,0,0,C25H28F11N3O8S,739.1421463,0,DTXSID80880605,DTXCID401021980,68298-75-9,NA,NA
16,"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(nonafluorobutyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester","InChI=1S/C24H28F9N3O8S/c1-6-36(45(40,41)24(32,33)22(27,28)21(25,26)23(29,30)31)9-10-42-19(38)34-16-8-7-14(4)17(11-16)35-20(39)44-15(5)12-43-18(37)13(2)3/h7-8,11,15H,2,6,9-10,12H2,1,3-5H3,(H,34,38)(H,35,39)",https://comptox.epa.gov/dashboard,C,NA,CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,ZNHAMOMCVOBRLM-UHFFFAOYSA-N,0,0,C24H28F9N3O8S,689.1453398,0,DTXSID40880606,DTXCID101021981,68298-76-0,NA,NA
17,(2-Carboxylatoethyl)dimethyl(((perfluorododecyl)-2-hydroxypropyl)amino)propylammonium,"InChI=1S/C23H23F25N2O3/c1-2-50(7-4-11(52)53)6-3-5-49-9-10(51)8-12(24,25)13(26,27)14(28,29)15(30,31)16(32,33)17(34,35)18(36,37)19(38,39)20(40,41)21(42,43)22(44,45)23(46,47)48/h10,49,51H,2-9H2,1H3,(H,52,53)",https://comptox.epa.gov/dashboard,C,NA,CCN(CCCNCC(CC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CCC(=O)O,ZPJOKRFOGKCNBA-UHFFFAOYSA-N,0,0,C23H23F25N2O3,850.1309481,0,DTXSID80881016,DTXCID601022334,93776-12-6,NA,NA
18,"Bis(1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonyl)imide","InChI=1S/C8HF18NO4S2/c9-1(10,5(17,18)19)3(13,14)7(23,24)32(28,29)27-33(30,31)8(25,26)4(15,16)2(11,12)6(20,21)22/h27H",https://comptox.epa.gov/dashboard,C,NA,C(C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,KZJUHXVCAHXJLR-UHFFFAOYSA-N,0,0,C8HF18NO4S2,580.9059575,0,DTXSID60880426,DTXCID301005006,39847-39-7,NA,NA
19,"3,3,4,4,5,5,6,6,6-nonafluoro-1-nitrohex-1-ene","InChI=1S/C6H2F9NO2/c7-3(8,1-2-16(17)18)4(9,10)5(11,12)6(13,14)15/h1-2H",https://comptox.epa.gov/dashboard,C,NA,C(=CN(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,BODFJDZXURKORU-UHFFFAOYSA-N,0,0,C6H2F9NO2,290.9941823,0,DTXSID50379713,DTXCID60330739,306935-66-0,NA,NA
20,"1,2,4-Trifluoro-3,5-bis(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene","InChI=1S/C12F17NO2/c13-3-1(7(16,9(18,19)20)10(21,22)23)4(14)5(15)6(30(31)32)2(3)8(17,11(24,25)26)12(27,28)29",https://comptox.epa.gov/dashboard,C,NA,c1(c(c(c(c(c1F)F)N(=O)=O)C(C(F)(F)F)(C(F)(F)F)F)F)C(C(F)(F)F)(C(F)(F)F)F,PVICYOGEJBAIKN-UHFFFAOYSA-N,0,0,C12F17NO2,512.965758,0,DTXSID20896407,DTXCID801325900,20017-51-0,NA,NA
21,"1,4-Dichloro-2-(1,1,2,3,3,3-hexafluoropropoxy)-5-nitrobenzene","InChI=1S/C9H3Cl2F6NO3/c10-3-2-6(4(11)1-5(3)18(19)20)21-9(16,17)7(12)8(13,14)15/h1-2,7H",https://comptox.epa.gov/dashboard,C,NA,c1c(c(cc(c1N(=O)=O)Cl)OC(C(C(F)(F)F)F)(F)F)Cl,WDTRKHSHZIJORU-UHFFFAOYSA-N,0,0,C9H3Cl2F6NO3,356.9394176,0,DTXSID60591520,DTXCID10542284,130841-23-5,NA,NA
22,"1,2,4,5-Tetrafluoro-3-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene","InChI=1S/C9F11NO2/c10-2-1(7(14,8(15,16)17)9(18,19)20)3(11)5(13)6(4(2)12)21(22)23",https://comptox.epa.gov/dashboard,C,NA,c1(c(c(c(c(c1F)F)N(=O)=O)F)F)C(C(F)(F)F)(C(F)(F)F)F,AIMRZXIGISGIMY-UHFFFAOYSA-N,0,0,C9F11NO2,362.9753387,0,DTXSID40896383,DTXCID701325876,20017-50-9,NA,NA
23,"1H,2H,2H-perfluorooctanal (2,4-dinitrophenyl)hydrazone","InChI=1S/C14H7F13N4O4/c15-9(16,10(17,18)11(19,20)12(21,22)13(23,24)14(25,26)27)3-4-28-29-7-2-1-6(30(32)33)5-8(7)31(34)35/h1-2,5H,3-4H2",https://comptox.epa.gov/dashboard,C,NA,c1cc(c(cc1N(=O)=O)N(=O)=O)N=NCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,UBMXHZGJQACURD-UHFFFAOYSA-N,0,0,C14H7F13N4O4,542.0259716,0,NA,NA,NA,NA,NA
24,"2,2,3,3,4,4,5,5,5-Nonafluoropentyl 2,5,7-trinitro-9-oxo-9H-fluorene-4-carboxylate","InChI=1S/C19H6F9N3O9/c20-16(21,17(22,23)18(24,25)19(26,27)28)5-40-15(33)10-3-6(29(34)35)1-8-12(10)13-9(14(8)32)2-7(30(36)37)4-11(13)31(38)39/h1-4H,5H2",https://comptox.epa.gov/dashboard,C,NA,c1c(cc(c2c1C(=O)c1cc(cc(c21)N(=O)=O)N(=O)=O)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,WWFIKWYKKMDAQB-UHFFFAOYSA-N,0,0,C19H6F9N3O9,590.9960328,0,DTXSID40896282,DTXCID501325775,253605-71-9,NA,NA
25,"1-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-3,5-dinitrobenzene","InChI=1S/C9H3F7N2O4/c10-7(8(11,12)13,9(14,15)16)4-1-5(17(19)20)3-6(2-4)18(21)22/h1-3H",https://comptox.epa.gov/dashboard,C,NA,c1c(cc(cc1N(=O)=O)N(=O)=O)C(C(F)(F)F)(C(F)(F)F)F,DKVGVNPCZVNONQ-UHFFFAOYSA-N,0,0,C9H3F7N2O4,335.9981041,0,DTXSID80698666,DTXCID20649415,24813-57-8,NA,NA
26,1-Nitro-3-(undecafluoropentyl)benzene,"InChI=1S/C11H4F11NO2/c12-7(13,5-2-1-3-6(4-5)23(24)25)8(14,15)9(16,17)10(18,19)11(20,21)22/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(cc(c1)N(=O)=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,UKBIKHOGARYBLY-UHFFFAOYSA-N,0,0,C11H4F11NO2,391.0066388,0,DTXSID10895969,DTXCID001325463,1463530-16-6,NA,NA
27,1-Nitro-3-(nonafluorobutyl)benzene,"InChI=1S/C10H4F9NO2/c11-7(12,5-2-1-3-6(4-5)20(21)22)8(13,14)9(15,16)10(17,18)19/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(cc(c1)N(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,XSVUTHPDIIPLTQ-UHFFFAOYSA-N,0,0,C10H4F9NO2,341.0098323,0,DTXSID90895922,DTXCID801325417,2398-76-7,NA,NA
28,"Butanamide, N-(2-bromo-4-nitrophenyl)-2,2,3,3,4,4,4-heptafluoro-","InChI=1S/C10H4BrF7N2O3/c11-5-3-4(20(22)23)1-2-6(5)19-7(21)8(12,13)9(14,15)10(16,17)18/h1-3H,(H,19,21)",https://comptox.epa.gov/dashboard,C,NA,c1cc(c(cc1N(=O)=O)Br)N=C(C(C(C(F)(F)F)(F)F)(F)F)O,LQYYVICTYPJDDJ-UHFFFAOYSA-N,0,0,C10H4BrF7N2O3,411.9293516,0,DTXSID5073797,DTXCID4033213,111189-67-4,NA,NA
29,3-Nitrophenyl heptafluorobutanoate,"InChI=1S/C10H4F7NO4/c11-8(12,9(13,14)10(15,16)17)7(19)22-6-3-1-2-5(4-6)18(20)21/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(cc(c1)OC(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,AVFHBJSMSJZVFE-UHFFFAOYSA-N,0,0,C10H4F7NO4,335.0028551,0,DTXSID30850994,DTXCID40801735,52512-15-9,NA,NA
30,"2,2,3,3,4,4,4-Heptafluoro-1-(4-nitrophenyl)butan-1-one","InChI=1S/C10H4F7NO3/c11-8(12,9(13,14)10(15,16)17)7(19)5-1-3-6(4-2-5)18(20)21/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1C(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,ZRKXYIFJBYTAAB-UHFFFAOYSA-N,0,0,C10H4F7NO3,319.0079405,0,DTXSID60895979,DTXCID601325473,144459-62-1,NA,NA
31,"1-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-4-nitrobenzene","InChI=1S/C9H4F7NO2/c10-7(8(11,12)13,9(14,15)16)5-1-3-6(4-2-5)17(18)19/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)F)N(=O)=O,ZNSFRNFHEGRVFR-UHFFFAOYSA-N,0,0,C9H4F7NO2,291.0130259,0,DTXSID70896336,DTXCID801325829,2396-14-7,NA,NA
32,1-Nitro-4-(nonafluorobutyl)benzene,"InChI=1S/C10H4F9NO2/c11-7(12,5-1-3-6(4-2-5)20(21)22)8(13,14)9(15,16)10(17,18)19/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,VGHCHTBEJCZDFH-UHFFFAOYSA-N,0,0,C10H4F9NO2,341.0098323,0,DTXSID90895725,DTXCID701325238,196932-95-3,NA,NA
33,1-(Heptafluoropropyl)-4-nitrobenzene,"InChI=1S/C9H4F7NO2/c10-7(11,8(12,13)9(14,15)16)5-1-3-6(4-2-5)17(18)19/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,AUJMMOWFPBJGCY-UHFFFAOYSA-N,0,0,C9H4F7NO2,291.0130259,0,DTXSID60895595,DTXCID401325110,1300746-85-3,NA,NA
34,"[N(E),S(S)]-N-(4-nitrophenyl)methyleneperfluorobutanesulfinamide","InChI=1S/C11H5F9N2O3S/c12-8(13,10(16,17)18)9(14,15)11(19,20)26(25)21-5-6-1-3-7(4-2-6)22(23)24/h1-5H",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1C=NS(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,GYLVKWUPZMTHBJ-UHFFFAOYSA-N,0,0,C11H5F9N2O3S,415.987717,0,NA,NA,NA,NA,NA
35,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N-(4-nitrophenyl)nonanamide","InChI=1S/C15H5F17N2O3/c16-8(17,7(35)33-5-1-3-6(4-2-5)34(36)37)9(18,19)10(20,21)11(22,23)12(24,25)13(26,27)14(28,29)15(30,31)32/h1-4H,(H,33,35)",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1NC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,CUOUHXHRFRMHRU-UHFFFAOYSA-N,0,0,C15H5F17N2O3,584.0028718,0,DTXSID10896214,DTXCID701325707,164796-46-7,NA,NA
36,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-N-(4-nitrophenyl)heptanamide","InChI=1S/C13H5F13N2O3/c14-8(15,7(29)27-5-1-3-6(4-2-5)28(30)31)9(16,17)10(18,19)11(20,21)12(22,23)13(24,25)26/h1-4H,(H,27,29)",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1NC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,ZVYZWOLDZMWXAQ-UHFFFAOYSA-N,0,0,C13H5F13N2O3,484.0092589,0,DTXSID00896208,DTXCID501325701,164796-44-5,NA,NA
