ID,NAME,INCHI,SOURCE,SOURCE_TYPE,ADDITIONAL,SMILES,INCHIKEY,LOCAL_POS,LOCAL_NEG,FORMULA,FIXEDMASS,NETCHARGE,DTXSID,DTXCID,CASRN,PUBCHEMID,INSPECTEDBY
37,"2,2,3,3,4,4,5,5,5-Nonafluoro-N-(4-nitrophenyl)pentanamide","InChI=1S/C11H5F9N2O3/c12-8(13,9(14,15)10(16,17)11(18,19)20)7(23)21-5-1-3-6(4-2-5)22(24)25/h1-4H,(H,21,23)",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1NC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,ODCGSXFIHQYHBY-UHFFFAOYSA-N,0,0,C11H5F9N2O3,384.015646,0,DTXSID90896171,DTXCID701325664,150333-62-3,NA,NA
38,N-(4-Nitrophenyl)perfluorobutanamide,"InChI=1S/C10H5F7N2O3/c11-8(12,9(13,14)10(15,16)17)7(20)18-5-1-3-6(4-2-5)19(21)22/h1-4H,(H,18,20)",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1NC(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,HQOLLMKLYTYSHA-UHFFFAOYSA-N,0,0,C10H5F7N2O3,334.0188396,0,DTXSID60897039,DTXCID401326475,6/5/3869,NA,NA
39,"N-(2,4-Dinitrophenyl)-2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanamide","InChI=1S/C12H4F11N3O6/c13-8(10(16,17)18,32-12(22,23)9(14,15)11(19,20)21)7(27)24-5-2-1-4(25(28)29)3-6(5)26(30)31/h1-3H,(H,24,27)",https://comptox.epa.gov/dashboard,C,NA,c1cc(c(cc1N(=O)=O)N(=O)=O)N=C(C(C(F)(F)F)(F)OC(C(C(F)(F)F)(F)F)(F)F)O,NVOHYTMPHXLVPF-UHFFFAOYSA-N,0,0,C12H4F11N3O6,494.9924453,0,DTXSID30896559,DTXCID401326051,105936-30-9,NA,NA
40,4-Nitrophenyl heptafluorobutanoate,"InChI=1S/C10H4F7NO4/c11-8(12,9(13,14)10(15,16)17)7(19)22-6-3-1-5(2-4-6)18(20)21/h1-4H",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1N(=O)=O)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,HEVDQVCIAUCJDV-UHFFFAOYSA-N,0,0,C10H4F7NO4,335.0028551,0,DTXSID00775625,DTXCID90726368,1799-92-4,NA,NA
41,"1-Nitro-4-[(2,2,3,3,4,4,5,5,6,6,6-undecafluorohexyl)oxy]benzene","InChI=1S/C12H6F11NO3/c13-8(14,5-27-7-3-1-6(2-4-7)24(25)26)9(15,16)10(17,18)11(19,20)12(21,22)23/h1-4H,5H2",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1N(=O)=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,RGOZNZUAXTXBNG-UHFFFAOYSA-N,0,0,C12H6F11NO3,421.0172035,0,DTXSID10896052,DTXCID701325545,183997-46-8,NA,NA
42,"1-(2,2,3,3,4,4,4-Heptafluorobutoxy)-4-nitrobenzene","InChI=1S/C10H6F7NO3/c11-8(12,9(13,14)10(15,16)17)5-21-7-3-1-6(2-4-7)18(19)20/h1-4H,5H2",https://comptox.epa.gov/dashboard,C,NA,c1cc(ccc1N(=O)=O)OCC(C(C(F)(F)F)(F)F)(F)F,AZABPWAOUQABLY-UHFFFAOYSA-N,0,0,C10H6F7NO3,321.0235906,0,DTXSID20895970,DTXCID701325464,109230-68-4,NA,NA
43,2-(Heptafluoropropyl)-6-nitro-1H-benzimidazole,"InChI=1S/C10H4F7N3O2/c11-8(12,9(13,14)10(15,16)17)7-18-5-2-1-4(20(21)22)3-6(5)19-7/h1-3H,(H,18,19)",https://comptox.epa.gov/dashboard,C,NA,c1cc2c(cc1N(=O)=O)[nH]c(C(C(C(F)(F)F)(F)F)(F)F)n2,IXFBWEUABZKVQQ-UHFFFAOYSA-N,0,0,C10H4F7N3O2,331.0191739,0,DTXSID10896118,DTXCID601325611,6826-38-6,NA,NA
44,"3,3,4,4,5,5,6,6,6-Nonafluoro-1-nitrohex-1-en-2-amine","InChI=1S/C6H3F9N2O2/c7-3(8,2(16)1-17(18)19)4(9,10)5(11,12)6(13,14)15/h16H,1H2",https://comptox.epa.gov/dashboard,C,NA,C(C(=N)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,ZLFGSBKCGQBTKE-UHFFFAOYSA-N,0,0,C6H3F9N2O2,306.0050813,0,NA,NA,NA,NA,NA
45,"1,1,1,2,2,3,3-heptafluoro-5-nitro-4-(nitromethyl)pentane","InChI=1S/C6H5F7N2O4/c7-4(8,5(9,10)6(11,12)13)3(1-14(16)17)2-15(18)19/h3H,1-2H2",https://comptox.epa.gov/dashboard,C,NA,C(C(CN(=O)=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,PAESHGHUQXDFGZ-UHFFFAOYSA-N,0,0,C6H5F7N2O4,302.0137542,0,DTXSID20296261,DTXCID20247399,355-91-9,NA,NA
46,"3,3,4,4,5,5,6,6,6-Nonafluorohexyl nitrate","InChI=1S/C6H4F9NO3/c7-3(8,1-2-19-16(17)18)4(9,10)5(11,12)6(13,14)15/h1-2H2",https://comptox.epa.gov/dashboard,C,NA,C(CON(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,JTINRXZCXXXKMA-UHFFFAOYSA-N,0,0,C6H4F9NO3,309.004747,0,DTXSID70188389,DTXCID50110880,34839-44-6,NA,NA
47,"3-[2,2,3,3,4,4-Hexafluoro-4-(heptafluoropropoxy)butanamido]-N,N-dimethylpropan-1-amine N-oxide","InChI=1S/C12H13F13N2O3/c1-27(2,29)5-3-4-26-6(28)7(13,14)8(15,16)11(22,23)30-12(24,25)9(17,18)10(19,20)21/h3-5H2,1-2H3,(H,26,28)",https://comptox.epa.gov/dashboard,C,NA,CN(=O)(C)CCCN=C(C(C(C(F)(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,FNPQQUYBBRHUFI-UHFFFAOYSA-N,0,0,C12H13F13N2O3,480.0718591,0,DTXSID70896553,DTXCID601326045,87112-48-9,NA,NA
48,"3-[(Perfluorobutane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide","InChI=1S/C9H13F9N2O3S/c1-20(2,21)5-3-4-19-24(22,23)9(17,18)7(12,13)6(10,11)8(14,15)16/h19H,3-5H2,1-2H3",https://comptox.epa.gov/dashboard,C,NA,CN(=O)(C)CCCNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,HQIKMYJOLJOSOX-UHFFFAOYSA-N,0,0,C9H13F9N2O3S,400.0503173,0,DTXSID50893565,DTXCID101323591,178094-76-3,NA,NA
49,"1-Propanaminium, 3-[[4-[(heptadecafluorononyl)oxy]benzoyl]amino]-N,N,N-trimethyl- (9CI)","InChI=1S/C22H21F17N2O2/c1-41(2,3)10-4-9-40-14(42)12-5-7-13(8-6-12)43-22(38,39)21(36,37)20(34,35)19(32,33)18(30,31)17(28,29)15(23,24)11-16(25,26)27/h5-8H,4,9-11H2,1-3H3/p+1",https://comptox.epa.gov/dashboard,C,NA,C[N+](C)(C)CCCN=C(c1ccc(cc1)OC(C(C(C(C(C(C(CC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,LENDGRWTJNFJQE-UHFFFAOYSA-O,1,0,C22H22F17N2O2,669.1404341,1,DTXSID70897580,DTXCID301326927,59493-71-9,NA,NA
50,Perfluorononane sulfonamido ammonium iodide,"InChI=1S/C15H16F19N2OS/c1-36(2,3)6-4-5-35-38(37)15(33,34)13(28,29)11(24,25)9(20,21)7(16,17)8(18,19)10(22,23)12(26,27)14(30,31)32/h35H,4-6H2,1-3H3/q+1",https://comptox.epa.gov/dashboard,C,NA,C[N+](C)(C)CCCNS(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,IEIYQVSGMNXXNU-UHFFFAOYSA-N,1,0,C15H16F19N2OS,633.0674467,1,DTXSID40893256,DTXCID001323324,69091-20-9,NA,NA
51,"N-(2-Carboxyethyl)-3-[(perfluoro-1-oxononyl)amino]-N,N-dimethyl-1-propanaminium","InChI=1S/C17H17F17N2O3/c1-36(2,7-4-8(37)38)6-3-5-35-9(39)10(18,19)11(20,21)12(22,23)13(24,25)14(26,27)15(28,29)16(30,31)17(32,33)34/h3-7H2,1-2H3,(H-,35,37,38,39)/p+1",https://comptox.epa.gov/dashboard,C,NA,C[N+](C)(CCCN=C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CCC(=O)O,ZGBMFNJIPSRTBS-UHFFFAOYSA-O,1,0,C17H18F17N2O3,621.1040486,1,DTXSID70893340,DTXCID401323302,119131-05-4,NA,NA
52,"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)butan-2-yl 2-methylprop-2-enoate","InChI=1S/C9H5F11O2/c1-3(2)4(21)22-5(7(12,13)14,8(15,16)17)6(10,11)9(18,19)20/h1H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OC(C(C(F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F,ZYEKBRZVGPYUIW-UHFFFAOYSA-N,0,0,C9H5F11O2,354.0113898,0,DTXSID40896606,DTXCID701326098,101061-05-6,NA,NA
53,"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl 2-methylprop-2-enoate","InChI=1S/C8H5F9O2/c1-3(2)4(18)19-5(6(9,10)11,7(12,13)14)8(15,16)17/h1H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,JXVINEGBEPHVPO-UHFFFAOYSA-N,0,0,C8H5F9O2,304.0145834,0,DTXSID90896611,DTXCID301326103,17526-97-5,NA,NA
54,"1,1,1,2,3,3,3-Heptafluoropropan-2-yl 2-methylprop-2-enoate","InChI=1S/C7H5F7O2/c1-3(2)4(15)16-5(8,6(9,10)11)7(12,13)14/h1H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)F,DAUQEQSACMZHDS-UHFFFAOYSA-N,0,0,C7H5F7O2,254.0177769,0,DTXSID70896619,DTXCID501326111,7459-59-8,NA,NA
55,Pentadecafluoroheptyl 2-methylprop-2-enoate,"InChI=1S/C11H5F15O2/c1-3(2)4(27)28-11(25,26)9(20,21)7(16,17)5(12,13)6(14,15)8(18,19)10(22,23)24/h1H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,HEFHMJVNMXDZKE-UHFFFAOYSA-N,0,0,C11H5F15O2,454.0050027,0,DTXSID90624471,DTXCID60575224,96724-20-8,NA,NA
56,Undecafluoropentyl 2-methylprop-2-enoate,"InChI=1S/C9H5F11O2/c1-3(2)4(21)22-9(19,20)7(14,15)5(10,11)6(12,13)8(16,17)18/h1H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,BWIUYRXKEFSAJX-UHFFFAOYSA-N,0,0,C9H5F11O2,354.0113898,0,DTXSID60603314,DTXCID80554071,89004-77-3,NA,NA
57,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-Icosafluoroundecyl methacrylate","InChI=1S/C15H8F20O2/c1-4(2)5(36)37-6(17)8(20,21)10(24,25)12(28,29)14(32,33)15(34,35)13(30,31)11(26,27)9(22,23)7(18,19)3-16/h6H,1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OC(C(C(C(C(C(C(C(C(C(CF)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,KDUYSMPJTYKVBA-UHFFFAOYSA-N,0,0,C15H8F20O2,600.0204939,0,DTXSID00880420,DTXCID301021868,41123-44-8,NA,NA
58,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,21-Hentetracontafluorohenicosyl 2-methylprop-2-enoate","InChI=1S/C25H7F41O2/c1-4(2)5(67)68-3-6(26,27)7(28,29)8(30,31)9(32,33)10(34,35)11(36,37)12(38,39)13(40,41)14(42,43)15(44,45)16(46,47)17(48,49)18(50,51)19(52,53)20(54,55)21(56,57)22(58,59)23(60,61)24(62,63)25(64,65)66/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,QWUFNQYGXMUGOZ-UHFFFAOYSA-N,0,0,C25H7F41O2,1117.979136,0,DTXSID80896605,DTXCID001326097,132405-54-0,NA,NA
59,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Henicosafluoroundecyl methacrylate","InChI=1S/C15H7F21O2/c1-4(2)5(37)38-3-6(16,17)7(18,19)8(20,21)9(22,23)10(24,25)11(26,27)12(28,29)13(30,31)14(32,33)15(34,35)36/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,QDIWIWGKFGVURE-UHFFFAOYSA-N,0,0,C15H7F21O2,618.0110721,0,DTXSID40197408,DTXCID10119899,48077-86-7,NA,NA
60,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecyl 2-methylprop-2-enoate","InChI=1S/C14H7F19O2/c1-4(2)5(34)35-3-6(15,16)7(17,18)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)13(29,30)14(31,32)33/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,NSSMHXVPVQADLY-UHFFFAOYSA-N,0,0,C14H7F19O2,568.0142656,0,DTXSID70377690,DTXCID20328718,23069-32-1,NA,NA
61,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononyl methacrylate","InChI=1S/C13H7F17O2/c1-4(2)5(31)32-3-6(14,15)7(16,17)8(18,19)9(20,21)10(22,23)11(24,25)12(26,27)13(28,29)30/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,ZDXYSIRXXGOEEA-UHFFFAOYSA-N,0,0,C13H7F17O2,518.0174592,0,DTXSID80197407,DTXCID50119898,48077-33-4,NA,NA
62,"1H,1H,9H-perfluorononyl methacrylate","InChI=1S/C13H8F16O2/c1-4(2)5(30)31-3-7(16,17)9(20,21)11(24,25)13(28,29)12(26,27)10(22,23)8(18,19)6(14)15/h6H,1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,XAENZTGUQXVFPQ-UHFFFAOYSA-N,0,0,C13H8F16O2,500.026881,0,DTXSID10171538,DTXCID0094029,1841-46-9,NA,NA
63,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl methacrylate","InChI=1S/C12H7F15O2/c1-4(2)5(28)29-3-6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)27/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,RUEKTOVLVIXOHT-UHFFFAOYSA-N,0,0,C12H7F15O2,468.0206528,0,DTXSID5063235,DTXCID2039621,3934-23-4,NA,NA
64,(Perfluorohexyl)methyl methacrylate,"InChI=1S/C11H7F13O2/c1-4(2)5(25)26-3-6(12,13)7(14,15)8(16,17)9(18,19)10(20,21)11(22,23)24/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OGTUUPXNYCOCKQ-UHFFFAOYSA-N,0,0,C11H7F13O2,418.0238463,0,DTXSID60197405,DTXCID30119896,48076-44-4,NA,NA
65,(6H-Perfluorohexyl)methyl methacrylate,"InChI=1S/C11H8F12O2/c1-4(2)5(24)25-3-7(14,15)9(18,19)11(22,23)10(20,21)8(16,17)6(12)13/h6H,1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,YJKHMSPWWGBKTN-UHFFFAOYSA-N,0,0,C11H8F12O2,400.0332681,0,DTXSID70177132,DTXCID8099623,2261-99-6,NA,NA
66,"2,2,3,3,4,4,5,5,6,6,6-Undecafluorohexyl 2-methylprop-2-enoate","InChI=1S/C10H7F11O2/c1-4(2)5(22)23-3-6(11,12)7(13,14)8(15,16)9(17,18)10(19,20)21/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,AMFSMDRXAVOFCS-UHFFFAOYSA-N,0,0,C10H7F11O2,368.0270399,0,DTXSID60895752,DTXCID401325265,13173-36-9,NA,NA
67,"2,2,3,3,4,4,5,5,5-Nonafluoropentyl methacrylate","InChI=1S/C9H7F9O2/c1-4(2)5(19)20-3-6(10,11)7(12,13)8(14,15)9(16,17)18/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,XBZLJCYNLZUIGP-UHFFFAOYSA-N,0,0,C9H7F9O2,318.0302334,0,DTXSID20207771,DTXCID70130262,59006-65-4,NA,NA
68,"1H,1H,5H-Perfluoropentyl methacrylate","InChI=1S/C9H8F8O2/c1-4(2)5(18)19-3-7(12,13)9(16,17)8(14,15)6(10)11/h6H,1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,ZNJXRXXJPIFFAO-UHFFFAOYSA-N,0,0,C9H8F8O2,300.0396553,0,DTXSID90880131,DTXCID701021727,355-93-1,NA,NA
69,"2,2,3,3,4,4,4-Heptafluorobutyl methacrylate","InChI=1S/C8H7F7O2/c1-4(2)5(16)17-3-6(9,10)7(11,12)8(13,14)15/h1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,VIEHKBXCWMMOOU-UHFFFAOYSA-N,0,0,C8H7F7O2,268.033427,0,DTXSID3065586,DTXCID6034390,13695-31-3,NA,NA
70,"1H,1H,3H-Perfluorobutyl 2-methylacrylate","InChI=1S/C8H8F6O2/c1-4(2)5(15)16-3-7(10,11)6(9)8(12,13)14/h6H,1,3H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(C(C(F)(F)F)F)(F)F,DFVPUWGVOPDJTC-UHFFFAOYSA-N,0,0,C8H8F6O2,250.0428488,0,DTXSID80880403,DTXCID301021856,36405-47-7,NA,NA
71,"4,4,5,5,6,7,7,7-Octafluoro-2-hydroxy-6-(trifluoromethyl)heptyl 2-methylprop-2-enoate","InChI=1S/C12H11F11O3/c1-5(2)7(25)26-4-6(24)3-8(13,14)10(16,17)9(15,11(18,19)20)12(21,22)23/h6,24H,1,3-4H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(CC(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)O,LZKRGSPBGVICLV-UHFFFAOYSA-N,0,0,C12H11F11O3,412.0532546,0,DTXSID80379882,DTXCID30330908,16083-79-7,NA,NA
72,3-(Perfluoro-5-methylhexyl)-2-hydroxypropyl methacrylate,"InChI=1S/C14H11F15O3/c1-5(2)7(31)32-4-6(30)3-8(15,16)10(18,19)12(22,23)11(20,21)9(17,13(24,25)26)14(27,28)29/h6,30H,1,3-4H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(CC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)O,RPDBRTLKDYJCCE-UHFFFAOYSA-N,0,0,C14H11F15O3,512.0468675,0,DTXSID40379904,DTXCID00330930,16083-81-1,NA,NA
73,(Perfluoro-7-methyloctyl)-2-hydroxypropyl 2-methylprop-2-enoate,"InChI=1S/C16H11F19O3/c1-5(2)7(37)38-4-6(36)3-8(17,18)10(20,21)12(24,25)14(28,29)13(26,27)11(22,23)9(19,15(30,31)32)16(33,34)35/h6,36H,1,3-4H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(CC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,WNVNMSONKCMAPU-UHFFFAOYSA-N,0,0,C16H11F19O3,612.0404804,0,DTXSID10379911,DTXCID00896743,88752-37-8,NA,NA
74,"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoro-2-hydroxyundecyl 2-methylprop-2-enoate","InChI=1S/C15H11F17O3/c1-5(2)7(34)35-4-6(33)3-8(16,17)9(18,19)10(20,21)11(22,23)12(24,25)13(26,27)14(28,29)15(30,31)32/h6,33H,1,3-4H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DCXZWVLJCYXHDV-UHFFFAOYSA-N,0,0,C15H11F17O3,562.043674,0,DTXSID20380871,DTXCID50331896,93706-76-4,NA,NA
75,"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-hydroxynonyl 2-methylprop-2-enoate","InChI=1S/C13H11F13O3/c1-5(2)7(28)29-4-6(27)3-8(14,15)9(16,17)10(18,19)11(20,21)12(22,23)13(24,25)26/h6,27H,1,3-4H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,QJNMSQFOKUQZBA-UHFFFAOYSA-N,0,0,C13H11F13O3,462.0500611,0,DTXSID20379861,DTXCID30330887,86994-47-0,NA,NA
76,"4,4,5,5,6,6,7,7,7-Nonafluoro-2-hydroxyheptyl 2-methylprop-2-enoate","InChI=1S/C11H11F9O3/c1-5(2)7(22)23-4-6(21)3-8(12,13)9(14,15)10(16,17)11(18,19)20/h6,21H,1,3-4H2,2H3",https://comptox.epa.gov/dashboard,C,NA,C=C(C)C(=O)OCC(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,BCTGGJURYOEMFV-UHFFFAOYSA-N,0,0,C11H11F9O3,362.0564482,0,DTXSID50381270,DTXCID80332295,36915-03-4,NA,NA
